Z	Symbol	Kesc	rel int	Ka	rel int	Ka1	rel int	Ka2	rel int	Kb	rel int	Kb1	rel int	Kb3	rel int	Kb2	rel int	Lesc	rel int	La	rel int	Lb1	rel int	Lb2	rel int	Lg1	rel int	Lg2	rel int	Lg3	rel int	Lg4	rel int	Ll	rel int	Ma esc	rel int	MZ	rel int	???	rel int	Ma1	rel int	Mb1	rel int	MG	rel int	MN	rel int	???	rel int
	Rel Int	0	0	100	100	100	100			100	100	~20		0		~2-5						52-69		7.0-26		2.0-14.0								2.0-14				15		2		100		50		5		4			
1	H	0	0	0	100	0	100	0	0	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
2	He	0	0	0	100	0	100	0	0	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
3	Li	0	0	0.052	100	0.0543	150	0.0543	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
4	Be	0	0	0.11	100	0.1085	150	0.1085	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
5	B	0	0	0.185	100	0.1833	151	0.1833	151	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
6	C	0	0	0.282	100	0.277	147	0.277	147	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
7	N	0	0	0.392	100	0.3924	150	0.3924	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
8	O	0	0	0.523	100	0.5249	151	0.5249	151	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
9	F	0	0	0.677	100	0.6768	148	0.6768	148	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
10	Ne	0	0	0.851	100	0.8486	150	0.8486	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
11	Na	0	0	1.041	100	1.041	100	1.041	0	1.071	100	1.067	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
12	Mg	0	0	1.254	100	1.253	100	1.254	0	1.302	100	1.297	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
13	Al	0	0	1.487	100	1.486	100	1.486	50	1.557	100	1.553	1	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
14	Si	0	0	1.74	100	1.74	100	1.739	50	1.838	100	1.832	2	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
15	P	0.275	0	2.015	100	2.013	100	2.014	50	2.142	100	2.136	3	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
16	S	0.567	0	2.307	100	2.307	100	2.306	50	2.468	100	2.464	25	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
17	Cl	0.882	0	2.622	100	2.622	100	2.621	50	2.817	100	2.815	25	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
18	Ar	1.217	0	2.957	100	2.957	100	2.955	50	3.191	100	3.192	25	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
19	K	1.572	0	3.312	100	3.313	100	3.31	50	3.589	100	3.589	23	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
20	Ca	1.95	0	3.69	100	3.691	100	3.688	50	4.012	100	4.012	23	0	0	0	0	0		0.341		0.344		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
21	Sc	2.348	0	4.088	100	4.09	100	4.085	50	4.459	100	4.46	23	0	0	0	0	0		0.395		0.399		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
22	Ti	2.768	0	4.508	100	4.51	100	4.504	50	4.931	100	4.931	21	0	0	0	0	0		0.452		0.458		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
23	V	3.209	0	4.949	100	4.951	100	4.944	50	5.427	100	5.427	21	0	0	0	0	0		0.51	111	0.519	80	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
24	Cr	3.671	0	5.411	100	5.414	100	5.405	50	5.947	100	5.946	21	0	0	0	0	0		0.571	111	0.581	79	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
25	Mn	4.155	0	5.895	100	5.898	100	5.887	50	6.492	100	6.49	21	0	0	0	0	0		0.636	111	0.647	77	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
26	Fe	4.66	0	6.4	100	6.403	100	6.39	50	7.059	100	7.057	21	0	0	0	0	0		0.704	111	0.717	66	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
27	Co	5.185	0	6.925	100	6.929	100	6.915	51	7.649	100	7.649	21	0	0	0	0	0		0.775	111	0.79	76	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
28	Ni	5.732	0	7.472	100	7.477	100	7.46	51	8.265	100	8.264	21	0	0	8.328	0	0		0.849	111	0.866	68	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
29	Cu	6.301	0	8.041	100	8.046	100	8.027	51	8.907	100	8.904	21	0	0	8.976	0	0		0.928	111	0.948	65	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
30	Zn	6.891	0	8.631	100	8.637	100	8.615	51	9.572	100	9.571	21	0	0	9.657	0	0		1.009	111	1.032	65	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
31	Ga	7.503	0	9.243	100	9.25	100	9.234	51	10.263	100	10.263	21	10.26	5	10.365	0	0		1.098	111	1.125	66	0		0		0		0		0		0	7	0		0		0		0		0		0		0		0	0
32	Ge	8.136	0	9.876	100	9.885	100	9.854	51	10.984	100	10.981	21	10.978	6	11.1	0	0		1.188	111	1.218	60	0		0		0		0		0		0	6	0		0		0		0		0		0		0		0	0
33	As	8.792	0	10.532	100	10.542	100	10.507	51	11.729	100	11.7262	19	11.72	6	11.863	1	0		1.282	111	1.317	60	0		0		0		0		0		0	6	0		0		0		0		0		0		0		0	0
34	Se	9.47	0	11.21	100	11.22	100	11.181	52	12.501	100	12.495	21	12.272	6	12.651	1	0		1.379	111	1.419	59	0		0		0		0		0		0	6	0		0		0		0		0		0		0		0	0
35	Br	10.167	0	11.907	100	11.922	100	11.877	52	13.296	100	13.29	21	13.284	7	13.465	1	0		1.48	111	1.526	59	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
36	Kr	10.89	0	12.63	100	12.648	100	12.597	52	14.12	100	14.112	21	14.104	7	14.313	2	0		1.586	111	1.636	57	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
37	Rb	11.635	0	13.375	100	13.393	100	13.335	52	14.971	100	14.96	21	14.951	7	15.184	2	0		1.694	111	1.752	58	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
38	Sr	12.402	0	14.142	100	14.163	100	14.097	52	15.849	100	15.834	21	15.825	7	16.083	3	0.0660000000000001		1.806	111	1.871	58	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
39	Y	13.193	0	14.933	100	14.956	100	14.882	52	16.754	100	16.736	21	16.726	8	17.011	3	0.182		1.922	111	1.995	57	0		0		0		0		0		0	5	0		0		0		0		0		0		0		0	0
40	Zr	14.006	0	15.746	100	15.772	100	15.69	52	17.687	100	17.665	21	17.654	8	17.959	3	0.302		2.042	111	2.124	54	2.219	1	2.302	2	2.503		2.503		0		1.792	5	0		0		0		0		0		0		0		0	0
41	Nb	14.844	0	16.584	100	16.612	100	16.52	52	18.647	100	18.621	21	18.606	8	18.951	3	0.426		2.166	111	2.257	52	2.367	3	2.462	2	2.664		2.664		0		1.902	5	0		0		0		0		0		0		0		0	0
42	Mo	15.703	0	17.443	100	17.476	100	17.373	52	19.633	100	19.607	21	19.59	8	19.964	3	0.553		2.293	111	2.394	53	2.518	5	2.623	3	2.831		2.831		0		2.016	5	0		0		0		0		0		0		0		0	0
43	Tc	16.587	0	18.327	100	18.364	100	18.328	53	20.647	100	20.585	21	20.599	8	21.012	4	0.684		2.424	111	2.536	54	2.674	7	2.792	3	0		0		0		0	5	0		0		0		0		0		0		0		0	0
44	Ru	17.495	0	19.235	100	19.276	100	19.149	53	21.687	100	21.655	21	21.635	8	22.072	4	0.818		2.558	111	2.683	54	2.835	10	2.964	4	3.181		3.181		0		2.253	4	0		0		0		0		0		0		0		0	0
45	Rh	18.427	0	20.167	100	20.213	100	20.072	53	22.759	100	22.721	21	22.699	8	23.169	4	0.956		2.696	111	2.834	52	3.001	10	3.144	5	3.364		3.364		0		2.377	4	0		0		0		0		0		0		0		0	0
46	Pd	19.383	0	21.123	100	21.174	100	21.018	53	23.859	100	23.816	21	23.809	8	24.297	4	1.098		2.838	111	2.99	53	3.171	12	3.328	6	3.553		3.553		0		2.503	4	0		0		0		0		0		0		0		0	0
47	Ag	20.364	0	22.104	100	22.159	100	21.988	53	24.987	100	24.942	21	24.912	9	25.454	4	1.244		2.984	111	3.15	56	3.347	13	3.519	6	3.743		3.75		0		2.634	4	0		0		0		0		0		0		0		0	0
48	Cd	21.369	0	23.109	100	23.17	100	22.982	53	26.143	100	26.093	17	26.061	9	26.641	4	1.393		3.133	111	3.316	58	3.528	15	3.716	6	3.951		0		0		2.767	4	0		0		0		0		0		0		0		0	0
49	In	22.399	0	24.139	100	24.206	100	24	53	27.382	100	27.274	17	27.238	9	27.859	5	1.546		3.286	100	3.487	58	3.713	15	3.92	0.6	4.161		4.161		4.237		2.904	4	0		0		0		0		0		0		0		0	0
50	Sn	23.453	0	25.193	100	25.267	100	25.042	53	28.601	100	28.483	17	28.444	9	29.106	5	1.703		3.443	100	3.662	60	3.904	16	4.131	7	4.377		4.377		4.464		3.045	4	0		0.39	15	0		0		0		0.69		0		0	0
51	Sb	24.534	0	26.274	100	26.355	100	26.109	54	29.851	100	29.723	18	29.679	9	30.387	5	1.864		3.604	100	3.843	61	4.1	17	4.347	8	4.56		4.6		4.697		3.188	4	0		0.42	15	0		0		0		0.73		0		0	0
52	Te	25.64	0	27.38	100	27.468	100	27.2	54	31.128	100	30.993	18	30.944	9	31.698	5	2.029		3.769	100	4.029	61	4.301	18	4.57	8	4.829		4.829		4.937		3.336	4	0		0.46	15	0		0		0		0.78		0		0	0
53	I	26.772	0	28.512	100	28.607	100	28.315	54	32.437	100	32.292	18	32.239	9	33.016	5	2.197		3.937	100	4.22	61	4.507	19	4.8	8	5.066		5.066		5.185		3.485	4	0		0.48	15	0		0		0		0.83		0		0	0
54	Xe	27.929	0	29.669	100	29.774	100	29.485	54	33.777	100	33.644	18	33.562	9	34.446	5	2.369		4.109	100	4.422	60	4.72	20	5.036	8	0		0		0		0	4	0		0.53	15	0		0		0		0.87		0		0	0
55	Cs	29.114	0	30.854	100	30.968	100	30.623	54	35.149	100	34.984	18	34.919	9	35.819	6	2.546		4.286	100	4.619	61	4.935	20	5.28	8	5.542		5.553		5.703		3.795	4	0		0.57	15	0		0		0		0.92		0		0	0
56	Ba	30.325	0	32.065	100	32.188	100	31.815	54	36.553	100	36.376	18	36.304	10	37.255	6	2.725		4.465	100	4.827	60	5.156	20	5.531	9	5.797		5.809		5.973		3.954	4	0		0.6	15	0		0		0		0.97		0		0	0
57	La	31.562	0	33.302	100	33.436	100	33.033	54	37.986	100	37.799	19	37.72	10	38.728	6	2.91		4.65	100	5.041	60	5.383	21	5.789	9	6.06		6.074		6.252		4.124	4	0		0.64	15	0		0.833	100	0.86	50	1.03		0		0	0
58	Ce	32.829	0	34.569	100	34.714	100	34.276	55	39.453	100	39.255	19	39.17	10	40.231	6	3.099		4.839	100	5.261	61	5.612	21	6.052	9	6.325		6.341		6.528		4.288	4	0		0.68	15	0		0.883	100	0.9	50	1.08		0		0	0
59	Pr	34.124	0	35.864	100	36.02	100	35.548	55	40.953	100	40.746	19	40.652	10	41.772	6	3.293		5.033	100	5.488	61	5.849	21	6.322	9	6.598		6.616		6.815		4.453	4	0		0.72	15	0		0.929	100	0.95	50	1.13		0		0	0
60	Nd	35.445	0	37.185	100	37.355	100	36.845	55	42.484	100	42.269	19	42.166	10	43.298	6	3.489		5.229	100	5.721	60	6.088	21	6.602	10	6.883		6.902		7.107		4.633	4	0		0.76	15	0		0.978	100	1	50	1.18		0		0	0
61	Pm	36.795	0	38.535	100	38.718	100	38.16	55	44.049	100	43.945	19	43.713	10	44.955	6	3.692		5.432	100	5.96	61	6.338	21	6.891	10	0		0		0		0	4	0		0.79	15	0		1.02	100	1.05	50	1.24		0		0	0
62	Sm	38.174	0	39.914	100	40.111	100	39.523	55	45.649	100	45.4	19	45.289	10	46.553	6	3.895		5.635	100	6.205	61	6.585	21	7.18	10	7.467		7.487		7.714		4.995	4	0		0.83	15	0		1.081	100	1.1	50	1.29		0		0	0
63	Eu	39.583	0	41.323	100	41.535	100	40.877	56	47.283	100	47.027	19	46.903	10	48.241	6	4.105		5.845	100	6.455	62	6.842	21	7.478	10	7.768		7.796		8.03		5.177	4	0		0.87	15	0		1.131	100	1.16	50	1.35		0		0	0
64	Gd	41.021	0	42.761	100	42.989	100	42.28	56	48.949	100	48.718	20	48.555	10	49.961	7	4.316		6.056	100	6.712	62	7.102	21	7.788	11	8.087		8.105		8.355		5.362	4	0		0.92	15	0		1.185	100	1.21	50	1.4		0		0	0
65	Tb	42.489	0	44.229	100	44.474	100	43.737	56	50.65	100	50.391	20	50.229	10	51.737	7	4.532		6.272	100	6.977	61	7.365	21	8.104	11	8.398		8.423		8.685		5.546	4	0		0.96	15	0		1.24	100	1.27	50	1.46		0		0	0
66	Dy	43.988	0	45.728	100	45.991	100	45.193	56	52.384	100	52.178	20	51.957	10	53.491	7	4.754		6.494	100	7.246	62	7.634	20	8.418	11	8.714		8.753		9.02		5.743	4	0		1	15	0		1.293	100	1.33	50	1.52		0		0	0
67	Ho	45.517	0	47.257	100	47.539	100	46.686	56	54.155	100	53.934	20	53.711	11	55.292	7	4.979		6.719	100	7.524	64	7.91	20	8.748	11	9.051		9.087		9.374		5.943	4	0		1.05	15	0		1.348	100	1.39	50	1.58		0		0	0
68	Er	47.078	0	48.818	100	49.119	100	48.205	56	55.963	100	55.69	21	55.494	11	57.088	7	5.207		6.947	100	7.809	64	8.188	20	9.089	11	9.385		9.431		9.722		6.152	4	0		1.09	15	0		1.406	100	1.45	50	1.65		0		0	0
69	Tm	48.67	0	50.41	100	50.733	100	49.762	57	57.806	100	57.576	21	57.304	11	58.969	7	5.439		7.179	100	8.1	64	8.467	20	9.424	12	9.73		9.779		10.084		6.342	4	0		1.14	15	0		1.462	100	1.51	50	1.7		0		0	0
70	Yb	50.295	0	52.035	100	52.38	100	51.326	57	59.687	100	59.352	21	59.14	11	60.959	7	5.674		7.414	100	8.4	65	8.757	20	9.779	12	10.09		10.143		10.46		6.546	4	0		1.19	15	0		1.521	100	1.57	50	1.77		0		0	0
71	Lu	51.953	0	53.693	100	54.061	100	52.959	57	61.607	100	61.282	21	61.05	11	62.946	7	5.914		7.654	100	8.708	66	9.047	19	10.142	12	10.46		10.511		10.843		6.753	4	0		1.23	15	0		1.5813	100	1.63	50	1.84		0		0	0
72	Hf	53.642	0	55.382	100	55.781	100	54.579	57	63.562	100	63.209	22	62.98	11	64.936	7	6.158		7.898	100	9.021	67	9.346	20	10.514	12	10.834		10.891		11.233		6.96	4	0		1.28	15	1.58	2	1.6446	100	1.7	50	1.9		0		0	0
73	Ta	55.366	0	57.106	100	57.523	100	56.27	57	65.556	100	65.21	22	64.949	11	66.999	7	6.405		8.145	100	9.342	67	9.65	20	10.892	12	11.217		11.278		11.645		7.173	4	0		1.33	15	1.63	2	1.71	100	1.77	50	1.97		2.23		0	0
74	W	57.124	0	58.864	100	59.308	100	57.973	58	67.586	100	67.233	22	66.951	11	69.09	8	6.656		8.396	100	9.671	67	9.96	21	11.283	13	11.608		11.674		12.063		7.388	5	0		1.39	15	1.69	2	1.7754	100	1.84	50	2.04		2.32		1.87	0
75	Re	58.915	0	60.655	100	61.13	100	59.707	58	69.659	100	69.296	22	68.994	12	71.22	8	6.911		8.651	100	10.008	66	10.273	22	11.684	13	12.01		12.082		12.492		7.604	5	0		1.44	15	1.73	2	1.8425	100	1.91	50	2.11		2.42		0	0
76	Os	60.742	0	62.482	100	62.99	100	61.477	58	71.775	100	71.404	23	71.077	12	73.393	8	7.17		8.91	100	10.354	67	10.597	22	12.094	13	12.422		12.5		12.923		7.822	5	0		1.5	15	1.8	2	1.9102	100	1.98	50	2.19		2.51		2.14	0
77	Ir	62.606	0	64.346	100	64.885	100	63.278	58	73.933	100	73.549	23	73.203	12	75.605	8	7.434		9.174	100	10.706	66	10.919	22	12.509	13	12.842		12.924		13.368		8.046	5	0		1.55	15	1.86	2	1.9799	100	2.06	50	2.26		2.6		0	0
78	Pt	64.506	0	66.246	100	66.821	100	65.111	58	76.131	100	75.736	23	75.368	12	77.866	8	7.701		9.441	100	11.069	67	11.249	23	12.939	1.3	13.27		13.361		13.828		8.268	5	0		1.61	15	1.92	2	2.0505	100	2.13	50	2.34		2.7		0	0
79	Au	66.445	0	68.185	100	68.792	100	66.98	59	78.372	100	77.968	23	77.58	12	80.165	8	7.972		9.712	100	11.44	67	11.583	23	13.379	13	13.71		13.809		14.3		8.494	5	0		1.66	15	1.98	2	2.1229	100	2.21	50	2.41		2.8		0	0
80	Hg	68.42	0	70.16	100	70.807	100	68.894	59	80.656	100	80.258	23	79.822	12	82.526	8	8.247		9.987	100	11.821	67	11.922	24	13.828	14	14.162		14.265		14.778		8.721	5	0		1.72	15	2.03	2	2.1953	100	2.29	50	2.5		2.87		0	0
81	Tl	70.436	0	72.176	100	72.859	100	70.82	60	82.985	100	82.558	23	82.118	12	84.904	8	8.527		10.267	100	12.211	67	12.27	25	14.288	14	14.625		14.737		15.272		8.953	6	0		1.78	15	2.11	2	2.2706	100	2.37	50	2.58		3.02		0	0
82	Pb	72.488	0	74.228	100	74.956	100	72.794	60	85.357	100	84.922	23	84.45	12	87.343	8	8.81		10.55	100	12.612	66	12.621	25	14.762	1.4	15.101		15.218		15.777		9.185	6	0		1.84	15	2.18	2	2.3455	100	2.45	50	2.66		3.13		2.67	0
83	Bi	74.581	0	76.321	100	77.095	100	74.805	60	87.774	100	87.335	23	86.834	12	89.833	9	9.097		10.837	100	13.021	67	12.978	25	15.244	14	15.582		15.71		16.295		9.42	6	0		1.91	15	2.24	2	2.4226	100	2.53	50	2.74		3.24		0	0
84	Po	76.72	0	78.46	100	79.279	100	76.868		90.243	100	89.809				92.386		9.389		11.129		13.445		13.338		15.74		16.07		0		0		9.664	0	0		1.97	15	2.29	2	2.5	100	2.6	50	2.82		3.27		0	0
85	At	78.896	0	80.636	100	81.499	100	78.956		92.754	100	92.319				94.976		9.685		11.425		13.874		13.705		16.248		0		0		0		0	0	0.84		2.03	15	2.38	2	2.58	100	2.7	50	2.91		3.37		2.97	0
86	Rn	81.115	0	82.855	100	83.768	100	81.08		95.315	100	94.877				97.615		9.985		11.725		14.313		14.077		16.768		0		0		0		0		0.92		2.1	15	2.44	2	2.66	100	2.78	50	3		3.49		3.11	0
87	Fr	83.384	0	85.124	100	86.089	100	83.243		97.93	100	97.483				100.305		10.289		12.029		14.768		14.448		17.301		0		0		0		0		1		2.16	15	2.52	2	2.74	100	2.88	50	3.09		3.59		3.2	0
88	Ra	85.697	0	87.437	100	88.454	100	85.446		100.523	100	100.136				103.048		10.598		12.338		15.233		14.839		17.845		18.179		18.357		19.084		10.622		1.08		2.23	15	2.57	2	2.82	100	2.97	50	3.18		3.72		3.3	0
89	Ac	88.05	0	89.79	100	90.868	100	87.861		103.31	100	102.846				105.838		10.91		12.65		15.71		15.227		18.405		0		0		0		0		1.17		2.3	15	2.65	2	2.91	100	3.06	50	3.28		3.84		3.42	0
90	Th	90.45	0	92.19	100	93.334	100	89.942	62	106.077	100	105.592	24	104.831	12	108.671	9	11.227		12.967	100	16.199	69	15.621	26	18.977	16	19.305		19.507		20.292		11.119	6	1.2561		2.37	15	2.72	2	2.9961	100	3.1	50	3.38		3.97		3.51	0
91	Pa	92.903	0	94.643	100	95.852	100	92.271		108.906	100	108.408				111.575		11.548		13.288		16.699		16.022		19.559		19.872		20.098		20.882		11.366		1.3423		2.44	15	2.79	2	3.0823	100	3.25	50	3.47		4.1		3.62	0
92	U	95.403	0	97.143	100	98.422	100	94.649	62	111.786	100	111.289	24	110.406	13	114.549	9	11.872		13.612	100	17.217	61	16.425	26	20.163	15	20.485		20.713		21.562		11.618	7	1.4308		2.51	15	2.87	2	3.1708	100	3.34	50	3.57		4.23		3.73	0
93	Np	97.953	0	99.693	100	101.005	100	97.023		114.72	100	114.181				117.533		12.202		13.942		17.747		16.837		20.774		21.11		21.34		22.2		11.89		1.51		2.56	15	2.94	2	3.25	100	3.43	50	3.67		4.37		3.86	0
94	Pu	100.555	0	102.295	100	103.653	100	99.457		117.716	100	117.146				120.592		12.536		14.276		18.291		17.252		21.401		21.725		21.982		22.891		12.124		1.59		2.63	15	3.01	2	3.33	100	3.53	50	3.77		4.49		3.98	0
95	Am	103.212	0	104.952	100	106.351	100	101.932		120.775	100	120.163				123.706		12.875		14.615		18.849		17.673		22.042		22.361		0		0		12.384		1.69		2.69	15	3.1	2	3.43	100	3.63	50	3.78		4.62		4.1	0
96	Cm	105.93	0	107.67	100	109.098	100	104.448		123.903	100	123.235				126.875		13.221		14.961		19.393		18.106		22.699		0		0		0		0		0		0		0		0		0		0		0		0	0
97	Bk	108.71	0	110.45	100	111.595	100	107.023		127.102	100	126.362				130.101		13.569		15.309		19.971		18.54		23.37		0		0		0		0		0		0		0		0		0		0		0		0	0
98	Cf	111.558	0	113.298	100	114.745	100	109.603		130.377	100	129.544				133.383		13.821		15.561		20.562		18.98		24.056		0		0		0		0		0		0		0		0		0		0		0		0	0
99	Es	114.477	0	116.217	100	117.646	100	112.244		133.73	100	132.781				136.724		14.278		16.018		21.166		19.425		24.758		0		0		0		0		0		0		0		0		0		0		0		0	0
100	Fm	117.47	0	119.21	100	120.596	100	114.926		137.167	100	136.075				140.122		14.639		16.379		21.785		19.879		25.475		0		0		0		0		0		0		0		0		0		0		0		0	0
